card_id,customer_id,card_number,card_type,credit_limit,outstanding,expiry_date,status,issue_date
30,165,XXXX-XXXX-XXXX-8960,UnionPay,272926.25,104812.16,2027-06-23,Expired,2023-06-24
31,266,XXXX-XXXX-XXXX-5903,UnionPay,1094158.21,41382.54,2026-06-09,Active,2022-06-10
32,425,XXXX-XXXX-XXXX-4026,UnionPay,938450.2,396511.66,2021-03-28,Expired,2016-03-29
33,183,XXXX-XXXX-XXXX-4818,UnionPay,1424272.54,1345282.01,2021-01-27,Active,2018-01-28
34,497,XXXX-XXXX-XXXX-3344,Visa,1303492.32,182117.91,2017-05-20,Expired,2014-05-21
35,318,XXXX-XXXX-XXXX-2606,Mastercard,299909.99,124872.41,2018-01-01,Blocked,2015-01-02
36,441,XXXX-XXXX-XXXX-6725,Mastercard,1298731.8,649329.2,2013-10-04,Active,2010-10-05
37,424,XXXX-XXXX-XXXX-2281,Mastercard,1118715.97,217191.8,2021-07-21,Blocked,2018-07-22
38,478,XXXX-XXXX-XXXX-9496,UnionPay,654977.26,524248.2,2016-02-07,Blocked,2012-02-08
39,144,XXXX-XXXX-XXXX-3453,Mastercard,393396.48,252631.7,2028-04-27,Expired,2023-04-29
40,418,XXXX-XXXX-XXXX-2075,Visa,219947.02,115682.48,2024-08-02,Active,2020-08-03
41,393,XXXX-XXXX-XXXX-6338,Mastercard,342962.8,177234.89,2026-01-31,Active,2023-02-01
42,408,XXXX-XXXX-XXXX-8493,Mastercard,448796.09,74206.12,2025-09-13,Blocked,2021-09-14
43,32,XXXX-XXXX-XXXX-5640,Mastercard,159379.37,154787.65,2026-03-18,Blocked,2021-03-19
44,93,XXXX-XXXX-XXXX-5414,Mastercard,889583.13,116897.46,2017-02-24,Expired,2012-02-26
45,35,XXXX-XXXX-XXXX-5859,Visa,543063.26,64067.58,2025-09-12,Active,2022-09-13
46,372,XXXX-XXXX-XXXX-3731,UnionPay,94786.75,94190.34,2022-09-08,Blocked,2017-09-09
47,344,XXXX-XXXX-XXXX-1497,UnionPay,313864.67,35917.27,2025-03-02,Expired,2020-03-03
48,359,XXXX-XXXX-XXXX-9264,UnionPay,652335.02,376278.87,2020-06-07,Blocked,2017-06-08
49,473,XXXX-XXXX-XXXX-5980,Mastercard,908987.12,115213.24,2021-11-03,Blocked,2016-11-04
50,371,XXXX-XXXX-XXXX-6503,UnionPay,800995.83,748107.1,2020-04-02,Active,2017-04-03
51,217,XXXX-XXXX-XXXX-8715,UnionPay,458994.09,224859.48,2020-11-05,Blocked,2016-11-06
52,387,XXXX-XXXX-XXXX-8399,Visa,439470.75,199354.68,2022-10-28,Expired,2017-10-29
53,445,XXXX-XXXX-XXXX-2239,Visa,79025.89,5826.6,2024-05-07,Expired,2021-05-08
54,492,XXXX-XXXX-XXXX-1287,Visa,187058.56,159728.95,2021-11-24,Expired,2017-11-25
55,217,XXXX-XXXX-XXXX-3003,Visa,555789.53,505979.64,2023-07-21,Blocked,2019-07-22
56,4,XXXX-XXXX-XXXX-3081,Mastercard,328401.76,159178.62,2016-08-25,Expired,2012-08-26
57,253,XXXX-XXXX-XXXX-7090,Visa,1400748.73,883786.62,2017-04-30,Expired,2013-05-01
58,315,XXXX-XXXX-XXXX-5809,Visa,438603.12,99830.82,2021-06-26,Active,2016-06-27
59,391,XXXX-XXXX-XXXX-1528,Visa,169901.3,104090.88,2015-11-28,Expired,2012-11-28
60,380,XXXX-XXXX-XXXX-5186,UnionPay,620391.31,36374.73,2025-08-30,Active,2021-08-31
61,34,XXXX-XXXX-XXXX-7368,Visa,126982.14,100078.73,2023-05-20,Blocked,2020-05-20
62,500,XXXX-XXXX-XXXX-3965,Visa,879703.86,783456.89,2017-01-11,Active,2014-01-12
63,103,XXXX-XXXX-XXXX-7170,UnionPay,1459268.08,1449485.85,2021-12-04,Blocked,2016-12-05
64,259,XXXX-XXXX-XXXX-6914,UnionPay,1279365.77,545448.48,2018-04-01,Expired,2014-04-02
65,291,XXXX-XXXX-XXXX-3538,Mastercard,1163548.77,308934.45,2017-12-07,Expired,2013-12-08
66,230,XXXX-XXXX-XXXX-9574,Visa,1127281.63,713592.34,2018-09-23,Blocked,2013-09-24
67,26,XXXX-XXXX-XXXX-3579,Mastercard,1063520.83,1014087.44,2025-09-14,Blocked,2021-09-15
68,164,XXXX-XXXX-XXXX-2335,Mastercard,1454926.88,12899.95,2023-08-18,Expired,2018-08-19
69,269,XXXX-XXXX-XXXX-1677,Mastercard,1109370.86,426683.47,2028-02-06,Active,2023-02-07
70,422,XXXX-XXXX-XXXX-2697,UnionPay,145381.95,99824.34,2019-03-14,Active,2016-03-14
71,481,XXXX-XXXX-XXXX-2253,Visa,246209.27,83758.71,2022-05-13,Blocked,2018-05-14
72,433,XXXX-XXXX-XXXX-3179,Mastercard,249410.05,87953.81,2024-10-01,Blocked,2020-10-02
73,87,XXXX-XXXX-XXXX-4318,Visa,364876.23,169694,2016-06-12,Expired,2012-06-13
74,34,XXXX-XXXX-XXXX-9388,Visa,668955.64,293474.75,2025-05-05,Expired,2020-05-06
75,409,XXXX-XXXX-XXXX-3781,UnionPay,1121826.81,259931.82,2025-06-24,Blocked,2021-06-25
76,24,XXXX-XXXX-XXXX-8773,Mastercard,1097574.94,687855.05,2024-01-29,Active,2020-01-30
77,173,XXXX-XXXX-XXXX-6289,UnionPay,1077458.39,814683.49,2024-12-04,Blocked,2021-12-05
78,201,XXXX-XXXX-XXXX-3779,Visa,1289849.15,300883.66,2015-05-13,Active,2012-05-13
79,358,XXXX-XXXX-XXXX-2893,UnionPay,1074441.22,206105.12,2016-08-26,Active,2011-08-28
80,152,XXXX-XXXX-XXXX-8738,UnionPay,1108750.33,570278.37,2028-06-13,Expired,2023-06-15
81,342,XXXX-XXXX-XXXX-7837,UnionPay,1187749.66,570625.6,2019-07-14,Active,2016-07-14
82,24,XXXX-XXXX-XXXX-5086,UnionPay,1030254.34,752656.92,2015-01-17,Expired,2010-01-18
83,90,XXXX-XXXX-XXXX-5814,UnionPay,760827.83,722965.74,2018-01-21,Active,2013-01-22
84,63,XXXX-XXXX-XXXX-1767,Mastercard,1320783.36,185643.27,2021-02-10,Active,2018-02-11
85,295,XXXX-XXXX-XXXX-2385,Mastercard,221316.37,168492.31,2017-05-13,Blocked,2013-05-14
86,480,XXXX-XXXX-XXXX-4282,Visa,355195.81,293716.01,2026-08-22,Blocked,2022-08-23
87,180,XXXX-XXXX-XXXX-5584,Mastercard,841007.07,825337.7,2016-02-26,Expired,2011-02-27
88,426,XXXX-XXXX-XXXX-5424,Mastercard,1004749.54,493986.31,2023-12-21,Blocked,2019-12-22
89,181,XXXX-XXXX-XXXX-8611,Mastercard,230887.26,119241.09,2021-11-17,Blocked,2017-11-18
90,438,XXXX-XXXX-XXXX-3483,UnionPay,225542.51,180483.05,2023-06-06,Active,2019-06-07
91,281,XXXX-XXXX-XXXX-4629,Mastercard,707263.25,275129.39,2022-02-01,Blocked,2019-02-02
92,335,XXXX-XXXX-XXXX-2553,Visa,878687.6,180104.04,2017-07-28,Blocked,2013-07-29
93,176,XXXX-XXXX-XXXX-3021,Visa,254873.99,48464.2,2025-05-07,Expired,2022-05-08
94,92,XXXX-XXXX-XXXX-2555,UnionPay,475687.72,59906.91,2026-12-20,Blocked,2021-12-21
95,234,XXXX-XXXX-XXXX-3849,Mastercard,1477086,169473.86,2019-08-05,Blocked,2015-08-06
96,43,XXXX-XXXX-XXXX-4839,UnionPay,1032585.98,957840.76,2019-06-18,Blocked,2016-06-18
97,200,XXXX-XXXX-XXXX-3576,Visa,637287.44,249771.84,2014-07-03,Active,2010-07-04
98,88,XXXX-XXXX-XXXX-9909,Mastercard,632298.5,42065.76,2018-10-23,Active,2014-10-24
99,278,XXXX-XXXX-XXXX-8878,Mastercard,45587.32,32049.46,2016-04-29,Expired,2013-04-30
100,9,XXXX-XXXX-XXXX-7254,Visa,588246.69,220475.72,2014-08-03,Active,2010-08-04
101,299,XXXX-XXXX-XXXX-8363,UnionPay,56755.53,42667.48,2013-12-15,Active,2010-12-16
102,186,XXXX-XXXX-XXXX-5263,UnionPay,138173.65,40315.17,2016-07-02,Expired,2013-07-03
103,161,XXXX-XXXX-XXXX-9699,UnionPay,583892.44,152808.73,2019-02-22,Blocked,2015-02-23
104,169,XXXX-XXXX-XXXX-1328,UnionPay,69080.91,4857.18,2021-05-30,Expired,2018-05-31
105,471,XXXX-XXXX-XXXX-6727,Mastercard,337557.25,70141.76,2025-12-27,Active,2021-12-28
106,17,XXXX-XXXX-XXXX-1458,UnionPay,599673.37,7624.11,2028-06-15,Blocked,2023-06-17
107,495,XXXX-XXXX-XXXX-8311,Visa,1130947.43,572142.83,2023-02-23,Active,2019-02-24
108,181,XXXX-XXXX-XXXX-4992,Mastercard,1471946.03,690743,2016-02-23,Blocked,2012-02-24
109,142,XXXX-XXXX-XXXX-3564,Mastercard,517018.8,387229.64,2018-11-23,Active,2013-11-24
110,480,XXXX-XXXX-XXXX-1712,UnionPay,203246.33,120050.37,2014-10-02,Expired,2010-10-03
111,381,XXXX-XXXX-XXXX-6535,UnionPay,763277.02,658061.9,2013-10-07,Blocked,2010-10-08
112,12,XXXX-XXXX-XXXX-4334,Mastercard,90167.6,50405.13,2020-06-23,Active,2016-06-24
113,243,XXXX-XXXX-XXXX-4202,UnionPay,208965.98,61781.04,2023-02-22,Blocked,2020-02-23
114,49,XXXX-XXXX-XXXX-6536,Visa,733314.04,253572.78,2015-02-04,Active,2011-02-05
115,319,XXXX-XXXX-XXXX-3697,Visa,87739.86,37095.77,2025-05-24,Blocked,2021-05-25
116,316,XXXX-XXXX-XXXX-7703,Mastercard,232586.08,77917.85,2024-08-01,Blocked,2019-08-03
117,65,XXXX-XXXX-XXXX-7598,Mastercard,956082.25,276263.74,2025-09-29,Blocked,2022-09-30
118,476,XXXX-XXXX-XXXX-1837,Visa,416448.33,206933.22,2024-09-08,Expired,2020-09-09
119,499,XXXX-XXXX-XXXX-2341,UnionPay,1109036.78,453877.63,2023-08-02,Expired,2020-08-02
120,58,XXXX-XXXX-XXXX-8663,Visa,1251554.38,1161838.81,2020-12-27,Expired,2016-12-28
121,190,XXXX-XXXX-XXXX-3918,UnionPay,1152820.34,1051825.99,2016-05-13,Active,2013-05-14
122,287,XXXX-XXXX-XXXX-5127,Visa,907075.08,893049.84,2020-07-26,Blocked,2017-07-27
123,210,XXXX-XXXX-XXXX-9347,UnionPay,1118806.13,847510.17,2016-02-01,Expired,2012-02-02
124,164,XXXX-XXXX-XXXX-5477,Visa,1385424.35,427108.57,2024-04-20,Expired,2020-04-21
125,454,XXXX-XXXX-XXXX-8222,Mastercard,1223097.49,782615.47,2015-04-11,Blocked,2012-04-11
126,402,XXXX-XXXX-XXXX-3983,UnionPay,1059017.07,668316.36,2023-07-16,Active,2018-07-17
127,97,XXXX-XXXX-XXXX-3659,Mastercard,1279371.22,1085744.46,2022-07-28,Expired,2018-07-29
128,452,XXXX-XXXX-XXXX-8898,Mastercard,34593.8,30680.77,2016-01-11,Blocked,2012-01-12
129,301,XXXX-XXXX-XXXX-2863,Mastercard,327360.36,40869.46,2027-11-01,Active,2022-11-02
130,236,XXXX-XXXX-XXXX-5047,Visa,1200784.9,327506.37,2026-04-22,Blocked,2023-04-23
131,304,XXXX-XXXX-XXXX-7306,UnionPay,1358091.75,1195998.91,2019-07-03,Blocked,2015-07-04
132,335,XXXX-XXXX-XXXX-4165,UnionPay,773156.77,750781.12,2015-04-13,Blocked,2010-04-14
133,307,XXXX-XXXX-XXXX-5632,Mastercard,199863.57,79626.66,2017-09-30,Expired,2013-10-01
134,396,XXXX-XXXX-XXXX-5185,Visa,482997.76,422890.27,2021-09-09,Blocked,2018-09-10
135,462,XXXX-XXXX-XXXX-7746,Mastercard,620068.35,323352,2021-05-29,Blocked,2016-05-30
136,117,XXXX-XXXX-XXXX-3647,Visa,177489.92,75473.18,2018-12-13,Active,2014-12-14
137,360,XXXX-XXXX-XXXX-3549,UnionPay,1117695.82,911744.5,2015-06-09,Blocked,2012-06-09
138,450,XXXX-XXXX-XXXX-6252,UnionPay,902331.69,812727.97,2017-12-04,Blocked,2014-12-05
139,441,XXXX-XXXX-XXXX-1072,UnionPay,799685.56,500656.45,2022-09-20,Active,2017-09-21
140,152,XXXX-XXXX-XXXX-1029,Mastercard,63749.61,7537.43,2015-08-23,Active,2012-08-23
141,225,XXXX-XXXX-XXXX-8034,UnionPay,760143.87,282975.86,2021-07-04,Active,2017-07-05
142,462,XXXX-XXXX-XXXX-1750,Mastercard,400166.79,308721.66,2024-07-23,Expired,2021-07-24
143,30,XXXX-XXXX-XXXX-3765,Mastercard,1230600.78,878677.2,2013-07-19,Active,2010-07-20
144,23,XXXX-XXXX-XXXX-2171,Mastercard,36057.67,7256.62,2019-07-04,Blocked,2014-07-05
145,30,XXXX-XXXX-XXXX-3777,Visa,1081462.63,87563.28,2024-12-15,Expired,2020-12-16
146,95,XXXX-XXXX-XXXX-5447,Visa,59582.17,8547.27,2013-04-13,Active,2010-04-14
147,453,XXXX-XXXX-XXXX-4417,UnionPay,28242.86,23213.36,2026-04-03,Expired,2021-04-04
148,380,XXXX-XXXX-XXXX-1024,Mastercard,1035556.89,167603.02,2024-11-06,Blocked,2019-11-08
149,360,XXXX-XXXX-XXXX-7463,Mastercard,1311038.92,400212.96,2015-04-05,Expired,2011-04-06
150,498,XXXX-XXXX-XXXX-8495,Mastercard,158129.95,147464.82,2020-10-25,Active,2015-10-27
151,294,XXXX-XXXX-XXXX-6724,Mastercard,582509.68,309453.14,2021-03-18,Active,2017-03-19
152,82,XXXX-XXXX-XXXX-9263,UnionPay,461947.17,322946.89,2024-09-17,Active,2019-09-19
153,44,XXXX-XXXX-XXXX-6928,UnionPay,380705.13,232252.4,2023-06-23,Blocked,2019-06-24
154,299,XXXX-XXXX-XXXX-3740,UnionPay,1292238.07,178798.78,2024-07-15,Blocked,2019-07-17
155,445,XXXX-XXXX-XXXX-9959,Mastercard,1073599.88,110890.96,2025-08-18,Blocked,2022-08-19
156,421,XXXX-XXXX-XXXX-1235,Mastercard,282213.11,141999.64,2023-04-27,Blocked,2019-04-28
157,178,XXXX-XXXX-XXXX-3765,UnionPay,1132151.5,132371.47,2017-02-17,Blocked,2014-02-18
158,215,XXXX-XXXX-XXXX-3461,Visa,971396.31,546718.08,2019-05-14,Blocked,2015-05-15
159,389,XXXX-XXXX-XXXX-2186,Mastercard,1373373.99,598403.13,2023-11-17,Expired,2020-11-17
160,492,XXXX-XXXX-XXXX-7966,Visa,833150.45,626359.78,2027-06-21,Blocked,2023-06-22
161,380,XXXX-XXXX-XXXX-9021,UnionPay,315904.57,264002.39,2018-08-15,Active,2014-08-16
162,358,XXXX-XXXX-XXXX-7257,Mastercard,1250611.79,271252.05,2025-12-01,Blocked,2021-12-02
163,190,XXXX-XXXX-XXXX-1442,Mastercard,911220.87,231087.84,2028-05-29,Blocked,2023-05-31
164,52,XXXX-XXXX-XXXX-4237,Mastercard,1354956.34,978297.62,2019-08-03,Active,2014-08-04
165,116,XXXX-XXXX-XXXX-8476,Mastercard,1159907.91,356031.99,2019-05-11,Blocked,2014-05-12
166,356,XXXX-XXXX-XXXX-8631,Visa,416436.1,175538.75,2020-01-19,Expired,2015-01-20
167,269,XXXX-XXXX-XXXX-9010,UnionPay,1302238.95,1096608.54,2016-02-24,Active,2013-02-24
168,461,XXXX-XXXX-XXXX-4891,Visa,1083886.71,192459.03,2019-03-19,Blocked,2014-03-20
169,211,XXXX-XXXX-XXXX-3722,Mastercard,281558.96,46708,2020-04-14,Expired,2016-04-15
170,330,XXXX-XXXX-XXXX-3447,Mastercard,226794.17,50053.02,2023-11-21,Active,2020-11-21
171,334,XXXX-XXXX-XXXX-4152,Mastercard,942394.36,218579.42,2015-01-26,Expired,2011-01-27
172,39,XXXX-XXXX-XXXX-6355,UnionPay,395571.2,171425.72,2013-11-16,Blocked,2010-11-17
173,151,XXXX-XXXX-XXXX-5623,UnionPay,35184.86,12080.34,2014-04-14,Expired,2011-04-15
174,155,XXXX-XXXX-XXXX-5190,Visa,962713.2,584187.91,2017-10-06,Active,2014-10-07
175,101,XXXX-XXXX-XXXX-4699,Visa,862547.96,794982.4,2020-04-20,Blocked,2015-04-22
176,52,XXXX-XXXX-XXXX-4898,Mastercard,977400.39,627424.68,2021-07-06,Expired,2017-07-07
177,273,XXXX-XXXX-XXXX-9675,UnionPay,740390.66,615188.02,2015-10-11,Blocked,2011-10-12
178,308,XXXX-XXXX-XXXX-9283,Visa,918897.72,530370.06,2019-05-23,Expired,2014-05-24
179,390,XXXX-XXXX-XXXX-9082,Visa,1158309.49,904074.65,2027-06-01,Expired,2023-06-02
180,365,XXXX-XXXX-XXXX-3472,Visa,1447298.79,826390.86,2018-07-13,Active,2015-07-14
181,315,XXXX-XXXX-XXXX-8220,Mastercard,29530.09,13252.86,2017-05-07,Active,2013-05-08
182,122,XXXX-XXXX-XXXX-8717,UnionPay,98396.56,41692.76,2014-01-15,Blocked,2011-01-16
183,91,XXXX-XXXX-XXXX-9653,Mastercard,468801.05,95315.83,2020-08-26,Active,2016-08-27
184,181,XXXX-XXXX-XXXX-2739,UnionPay,255837.04,127114.69,2017-07-26,Blocked,2013-07-27
185,168,XXXX-XXXX-XXXX-3210,UnionPay,1450295.56,189041.28,2020-08-02,Active,2015-08-04
186,476,XXXX-XXXX-XXXX-7181,UnionPay,1430361.84,624375.28,2016-01-14,Expired,2013-01-14
187,129,XXXX-XXXX-XXXX-3442,UnionPay,700113.04,407549.02,2020-10-12,Expired,2017-10-13
188,217,XXXX-XXXX-XXXX-9077,Visa,414800.24,353714.92,2020-04-25,Expired,2015-04-27
189,206,XXXX-XXXX-XXXX-3435,Mastercard,720334.88,559947.65,2023-07-17,Active,2019-07-18
190,312,XXXX-XXXX-XXXX-2841,Visa,1088521.91,328622.17,2015-05-29,Active,2012-05-29
191,361,XXXX-XXXX-XXXX-2322,Mastercard,941085.58,210086.83,2020-04-09,Blocked,2017-04-10
192,483,XXXX-XXXX-XXXX-7330,UnionPay,494225.24,46880.53,2021-12-15,Active,2018-12-16
193,264,XXXX-XXXX-XXXX-5133,UnionPay,884636.09,546029.29,2023-07-30,Blocked,2018-07-31
194,198,XXXX-XXXX-XXXX-6351,UnionPay,705409.28,354465.16,2019-12-30,Active,2016-12-30
195,181,XXXX-XXXX-XXXX-6690,Mastercard,614328.62,221542.18,2019-05-08,Expired,2016-05-08
196,140,XXXX-XXXX-XXXX-7299,Visa,302521.33,130667.86,2022-02-08,Blocked,2019-02-09
197,113,XXXX-XXXX-XXXX-8020,UnionPay,1245909.4,689327.46,2026-10-17,Expired,2022-10-18
198,141,XXXX-XXXX-XXXX-4852,Visa,881046.01,242193.34,2014-02-15,Blocked,2010-02-16
199,136,XXXX-XXXX-XXXX-7341,UnionPay,134719.71,62702.36,2017-05-04,Expired,2014-05-05
200,125,XXXX-XXXX-XXXX-7981,UnionPay,77258.88,75421.7,2024-02-03,Expired,2021-02-03
201,413,XXXX-XXXX-XXXX-7848,UnionPay,1148209.51,952812.55,2015-10-20,Expired,2012-10-20
202,271,XXXX-XXXX-XXXX-1392,UnionPay,1054560.07,756747.59,2024-06-27,Active,2020-06-28
203,415,XXXX-XXXX-XXXX-9864,UnionPay,1376311.82,121764.15,2026-02-12,Blocked,2023-02-13
204,480,XXXX-XXXX-XXXX-2108,Mastercard,635169.32,209442.23,2025-08-04,Expired,2021-08-05
205,50,XXXX-XXXX-XXXX-7504,UnionPay,579238.67,564958.16,2019-07-12,Blocked,2015-07-13
206,134,XXXX-XXXX-XXXX-6481,Mastercard,672324.52,20648.2,2013-04-26,Active,2010-04-27
207,407,XXXX-XXXX-XXXX-7011,Mastercard,987203.62,457276.23,2017-10-31,Active,2014-11-01
208,216,XXXX-XXXX-XXXX-2444,Mastercard,911301.3,335451.54,2019-09-29,Expired,2014-09-30
209,490,XXXX-XXXX-XXXX-3020,Mastercard,1203980.3,1182677.53,2014-06-29,Active,2010-06-30
210,469,XXXX-XXXX-XXXX-6732,Visa,1170689.69,883507.35,2015-05-04,Blocked,2010-05-05
211,67,XXXX-XXXX-XXXX-3079,Mastercard,41655.8,2400.76,2015-11-06,Expired,2010-11-07
212,61,XXXX-XXXX-XXXX-3517,Visa,464600.44,304326.15,2026-07-04,Expired,2021-07-05
213,483,XXXX-XXXX-XXXX-2381,UnionPay,705656.31,425124.09,2021-10-25,Blocked,2016-10-26
214,61,XXXX-XXXX-XXXX-1669,UnionPay,618447.09,211653.27,2015-11-28,Active,2010-11-29
215,169,XXXX-XXXX-XXXX-7752,Mastercard,1183362.55,431629.99,2019-07-06,Active,2014-07-07
216,187,XXXX-XXXX-XXXX-2812,Mastercard,906413.72,31969.63,2024-09-03,Active,2020-09-04
217,286,XXXX-XXXX-XXXX-8386,UnionPay,1193190.35,330656.37,2021-04-19,Active,2016-04-20
218,340,XXXX-XXXX-XXXX-6472,Visa,338010.83,313939.06,2018-10-16,Expired,2014-10-17
219,207,XXXX-XXXX-XXXX-7775,Mastercard,1451480.85,822526.43,2025-07-10,Expired,2022-07-11
220,460,XXXX-XXXX-XXXX-5138,Mastercard,1210796.84,265234.19,2016-07-01,Blocked,2013-07-02
221,28,XXXX-XXXX-XXXX-5759,Visa,1093954.9,40037.18,2023-03-17,Expired,2020-03-17
222,101,XXXX-XXXX-XXXX-9247,UnionPay,1260096.84,709703.17,2017-11-03,Active,2013-11-04
223,366,XXXX-XXXX-XXXX-5887,UnionPay,764421.27,85007.59,2017-09-14,Blocked,2014-09-15
224,408,XXXX-XXXX-XXXX-6624,Mastercard,232222.65,123380.8,2023-01-12,Active,2018-01-13
225,443,XXXX-XXXX-XXXX-5240,Mastercard,1426438.23,209417.84,2017-09-06,Expired,2013-09-07
226,382,XXXX-XXXX-XXXX-2099,Mastercard,766578.95,106971.11,2014-04-13,Active,2010-04-14
227,462,XXXX-XXXX-XXXX-2279,Mastercard,1245747.72,2450.51,2022-11-18,Expired,2019-11-19
228,167,XXXX-XXXX-XXXX-7508,Mastercard,1082206.97,91084.36,2015-01-08,Blocked,2011-01-09
229,328,XXXX-XXXX-XXXX-5903,Visa,1212752.85,888542.46,2022-06-30,Active,2018-07-01
230,336,XXXX-XXXX-XXXX-2226,UnionPay,1077334.3,868284.59,2016-06-01,Expired,2012-06-02
231,284,XXXX-XXXX-XXXX-2865,UnionPay,704862.04,433031.85,2015-03-02,Active,2012-03-02
232,354,XXXX-XXXX-XXXX-7760,Visa,1194861.67,41577.81,2014-11-25,Blocked,2011-11-26
233,69,XXXX-XXXX-XXXX-8345,Visa,1235862.81,1191027.1,2020-01-23,Expired,2017-01-23
234,253,XXXX-XXXX-XXXX-3889,Mastercard,337967.47,233897.41,2016-05-13,Expired,2011-05-15
235,308,XXXX-XXXX-XXXX-2184,Visa,586001.78,162337.97,2026-05-16,Active,2023-05-17
236,473,XXXX-XXXX-XXXX-5384,Mastercard,571416.62,117858.25,2018-11-30,Blocked,2014-12-01
237,339,XXXX-XXXX-XXXX-7287,UnionPay,1414507.82,42054.07,2023-06-13,Blocked,2020-06-13
238,94,XXXX-XXXX-XXXX-9804,UnionPay,1336752.64,613840.82,2025-11-25,Blocked,2022-11-26
239,442,XXXX-XXXX-XXXX-2000,Mastercard,303153.42,160973.07,2027-04-03,Blocked,2022-04-04
240,8,XXXX-XXXX-XXXX-3961,Mastercard,779732.71,637060.09,2018-10-08,Active,2013-10-09
241,82,XXXX-XXXX-XXXX-4658,UnionPay,164295.09,7819.75,2027-01-12,Blocked,2022-01-13
242,422,XXXX-XXXX-XXXX-4949,UnionPay,210908.61,144374.94,2026-02-09,Expired,2023-02-10
243,301,XXXX-XXXX-XXXX-9727,UnionPay,538747.98,143299.13,2024-03-12,Active,2019-03-14
244,261,XXXX-XXXX-XXXX-7531,Visa,780733.65,375398.24,2015-01-03,Expired,2012-01-04
245,73,XXXX-XXXX-XXXX-9773,UnionPay,90905.36,52968.36,2018-09-09,Blocked,2014-09-10
246,74,XXXX-XXXX-XXXX-2107,Mastercard,991541.72,851883.69,2016-09-10,Expired,2012-09-11
247,456,XXXX-XXXX-XXXX-8451,Mastercard,1330252.38,992558.78,2015-02-02,Expired,2012-02-03
248,432,XXXX-XXXX-XXXX-4980,Mastercard,1250755.45,1025489.88,2020-03-02,Active,2016-03-03
